Number,Contract Company,Contract Type,Title,ERP Status,Status,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Pending Change Orders,Draft Change Orders,Invoiced,Payments Issued,% Paid,Remaining Balance Outstanding,Signatures Required,Private,Vendor,Primary Contact,Vendor Zip Code,Vendor Street,Vendor State,Company Name,Vendor Fax,Vendor Phone,Project Number,Project Name,Vendor City,Email Address,Description,Signed Contract Received Date,Article 4 Subcontractor Bond,Article 8.4.1 Completed Operations Limit,Article 8.4.1 General Aggregate Limit,Article 8.5.1 Umbrella Limit,ME&S License Holder Name
22032.005,"Cement Industries, Inc.",Subcontract,Precast Hollow Core Slab,Synced,Approved,Yes,88535.71,0,88535.71,0,0,0,0,0,88535.71,Greg Schlabach,Yes,"Cement Industries, Inc.",,33916,2925 Hanson St,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",239-332-7144,239-332-1440,MES-22-032,Freedom ES New Classroom Building,Ft. Myers,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">CEMENT INDUSTRIES</span></span></p>
<p>Scope / Title:                        Precast Hollow Core Slabs</p>
<p>Cost Code:</p>
<p>Amount:</p>
<p> </p>
<p>Subcontractor Bond: No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p> </p>",12/2/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.006,Crowther Roofing &,Subcontract,Roofing,Synced,Approved,Yes,245000,-37532.45,207467.55,0,0,0,0,0,207467.55,,Yes,Crowther Roofing &,,33916,"Sheet Metal of Florida, Inc.
2543 Rockfill Rd",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",239-332-0939,239--337-1300,MES-22-032,Freedom ES New Classroom Building,Ft. Myers,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">CROWTHER ROOFING</span></span></p>
<p>Subcontractor Bond: Yes</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p> </p>",9/20/2022,IS,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.007,"Key Glass, Inc.",Subcontract,Windows & Storefront,Synced,Approved,Yes,105750,-32936.5,72813.5,0,0,0,0,0,72813.5,,Yes,"Key Glass, Inc.",,34203,2312 58th Ave E,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-751-0074,941-755-3414,MES-22-032,Freedom ES New Classroom Building,Bradenton,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">Key Glass, Inc.</span></span></p>
<p>Scope / Title:                        Windows &amp; Storefront</p>
<p>Cost Code:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>08-500</p>
<p>Amount:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>$105,570.00</p>
<p> </p>
<p>Subcontractor Bond: No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",9/6/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.008,"Gulfshore Drywall, Inc.",Subcontract,Metal Framing & Drywall,Synced,Approved,Yes,118320,-40250.99,78069.01,0,0,0,0,0,78069.01,,Yes,"Gulfshore Drywall, Inc.",,34230,PO Box 3678,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",(941) 923-6612,941-923-6630,MES-22-032,Freedom ES New Classroom Building,Sarasota,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">GULFSHORE</span></span></p>
<p>Scope / Title:                        METAL FRAMING &amp; DRYWALL</p>
<p>Cost Code:</p>
<p>Amount:</p>
<p> </p>
<p>Subcontractor Bond: Yes/No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",9/1/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.009,"LT Plumbing, LLC",Subcontract,Plumbing,Synced,Approved,Yes,125760,-10853.39,114906.61,0,0,0,0,0,114906.61,,Yes,"LT Plumbing, LLC",,34221,1504 18th Ave Dr E,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-721-3222,941-729-1111,MES-22-032,Freedom ES New Classroom Building,Palmetto,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">LT PLUMBING</span></span></p>
<p>Scope / Title:                       PLUMBING</p>
<p>Cost Code:                           15-400</p>
<p>Amount:                              $120,650.00</p>
<p> </p>
<p>Subcontractor Bond:          No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>",10/3/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.01,"NCN Electric, Inc.",Subcontract,Electrical & Fire Alarm,Synced,Approved,Yes,606000,102898.6,708898.6,0,0,0,0,0,708898.6,,Yes,"NCN Electric, Inc.",,34292,261 Blue Juniper Blvd,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-484-3872,941-488-0005,MES-22-032,Freedom ES New Classroom Building,Venice,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">NCN ELECTRIC, Inc.</span></span></p>
<p>Scope / Title:                        Electrical &amp; Fire Alarm</p>
<p>Cost Code:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>16-100</p>
<p>Amount:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>$606,000.00</p>
<p> </p>
<p><span style=""font-size:14pt;""><em>Subcontractor Bond:    Yes</em></span></p>
<p> </p>
<p>Insurance Limits:</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",10/3/2022,IS,"$2,000,000 ","$2,000,000 ","$5,000,000 ",Mark Freeman
22032.011,4-F Structural Concrete &,Subcontract,Concrete & Masonry,Synced,Approved,Yes,493764,9084,502848,0,0,0,0,0,502848,,Yes,4-F Structural Concrete &,,34240,"Masonry, LLC
8250 Vicela Dr Suite 3",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-341-0728,941-341-0724,MES-22-032,Freedom ES New Classroom Building,Sarasota,,"<p><span style=""font-size:12pt;"">Subcontractor:       4-F Structural Concrete &amp; Masonry LLC</span></p>
<p>Scope / Title:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>Concrete/ Masonry                     </p>
<p>Cost Code:                        03-300</p>
<p>Amount:<span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span><span class=""mce-nbsp-wrap"">   </span>$493,764.00</p>
<p> </p>
<p>Subcontractor Bond: Yes</p>
<p> </p>
<p>Insurance Limits:</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",11/8/2022,IS,"$2,000,000 ","$2,000,000 ","$5,000,000 ",Mark Freeman
22032.012,Peachtree Protective,Subcontract,Walkway Canopy,Synced,Approved,Yes,34272,-7253.33,27018.67,0,0,0,0,0,27018.67,,Yes,Peachtree Protective,,30122,"Covers, Inc.
3255 S Sweetwater Rd",GA,"McIntyre Elwell & Strammer General Contractors, Inc.",770-439-2122,770-439-2120,MES-22-032,Freedom ES New Classroom Building,Lithia Springs,,"<p><span style=""font-size:12pt;"">Subcontractor:       <span style=""color:#ff0000;""> Peachtree                  </span></span>Scope / Title:                       Walkway Canopy</p>
<p>Cost Code:                            10530                                    Amount:                               $34,272</p>
<p> </p>
<p>Subcontractor Bond: Yes<span style=""text-decoration:underline;""><strong>/No</strong></span></p>
<p> </p>
<p>Insurance Limits:   Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>",10/28/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.013,"Pinnacle Door & Hardware, Inc.",Subcontract,Doors & Hardware ,Synced,Approved,Yes,95038,-77854,17184,0,0,0,0,0,17184,,Yes,"Pinnacle Door & Hardware, Inc.",,30368-7343,"PO Box 117343
Division 350",GA,"McIntyre Elwell & Strammer General Contractors, Inc.",727-447-7301,727-447-7300,MES-22-032,Freedom ES New Classroom Building,Atlanta,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">PINNACLE</span></span></p>
<p>Scope / Title:                          Doors &amp; Hardware</p>
<p>Cost Code:                              08-100</p>
<p>Amount:                              $95,038.00</p>
<p> </p>
<p>Subcontractor Bond:             No</p>
<p> </p>
<p>Insurance Limits:         Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>",10/25/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Josh Tomlinson
22032.014,R.J. Walker Acoustical LLC,Subcontract,Acoustical Ceilings ,Synced,Approved,Yes,28700,0,28700,0,0,0,0,0,28700,Greg Schlabach,Yes,R.J. Walker Acoustical LLC,,34203,2335 63rd  Ave E  Suite L,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-727-0216,941-755-1215,MES-22-032,Freedom ES New Classroom Building,Bradenton,office@rjwalkeracoustical.com,"<p><span style=""font-size:12pt;"">Subcontractor:        <span style=""color:#ff0000;""> RJ Walker</span></span></p>
<p>Scope / Title:                        acoustical ceilings</p>
<p>Cost Code:                           09-510</p>
<p>Amount:                              $28,700.00</p>
<p> </p>
<p>Subcontractor Bond:             No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p> </p>",11/4/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.015,Spectra Contract Flooring,Subcontract,Flooring,Synced,Approved,Yes,56818.86,-19200.53,37618.33,0,0,0,0,0,37618.33,,Yes,Spectra Contract Flooring,,33605,1802 Grant St  Ste 200,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-351-7740,941-351-7710,MES-22-032,Freedom ES New Classroom Building,Tampa,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">Spectra Flooring</span></span></p>
<p>Scope / Title:                           Flooring</p>
<p>Cost Code:                              09-660</p>
<p>Amount:                                 $56,819.86</p>
<p> </p>
<p>Subcontractor Bond:                No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>",11/8/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Josh Tomlinson
22032.016,"Titan Fire Protection, Inc.",Subcontract,Fire Sprinklers,Synced,Approved,No,26400,0,26400,0,0,0,0,0,26400,Greg Schlabach,Yes,"Titan Fire Protection, Inc.",,32926,"395 S Range Road, Suite B",FL,"McIntyre Elwell & Strammer General Contractors, Inc.",321-783-1516,727-408-5306,MES-22-032,Freedom ES New Classroom Building,Cocoa,,"<p><span style=""font-size:12pt;"">Subcontractor:         <span style=""color:#ff0000;"">Titan Fire</span></span></p>
<p>Scope / Title:                        Fire Sprinklers</p>
<p>Cost Code:                           15-510</p>
<p>Amount:                              $26,400</p>
<p> </p>
<p>Subcontractor Bond:             No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p> </p>",9/23/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.017,"Stevens Industries, Inc.",Subcontract,Interior Millwork,Synced,Approved,Yes,71662,0,71662,0,0,0,0,0,71662,Greg Schlabach,Yes,"Stevens Industries, Inc.",,62467,704 W Main St,IL,"McIntyre Elwell & Strammer General Contractors, Inc.",(217) 857-7293,217-857-7100,MES-22-032,Freedom ES New Classroom Building,Teutopolis,,"<p><span style=""font-size:12pt;"">Subcontractor:        <span style=""color:#ff0000;""> STEVEN'S INDUSTRIES</span></span></p>
<p>Scope / Title:                         Interior Millwork</p>
<p>Cost Code:                              12-300</p>
<p>Amount:                                 $71,662.00</p>
<p> </p>
<p>Subcontractor Bond:                No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>",12/1/2022,IS NOT,"$1,000,000 ","$1,000,000 ","$1,000,000 ",Mark Freeman
22032.5,Smith Fence Company,Purchase Order,Fencing,Synced,Approved,Yes,4462,4944,9406,0,0,0,0,0,9406,,Yes,Smith Fence Company,,33762,4699 110th Ave N,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",727-573-2075,727-573-5440,MES-22-032,Freedom ES New Classroom Building,Clearwater,,"<p>Provide all labor, materials, and equipment required to completely furnish and install 22' of 6' high black vinyl coated chain fence with one (1) 6' wide double swing gate , and to include all accessories required for a complete and proper installation, as required by and in strict accordance with this Subcontractor Purchase Order and scope of work defined herein.</p>
<ul>
<li>All Pipe Schedule 40</li>
<li>Mesh 9 ga core, 6 ga finish</li>
</ul>
<p><em><strong><span style=""font-size:9.5pt;"">ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</span></strong></em></p>
<p><span style=""font-size:9.5pt;""> </span></p>",11/11/2022,,,,,
22032.501,"Doudney Sheet Metal Works, Inc",Purchase Order,MISC. STRUCTURAL STEEL,Synced,Approved,No,5540,0,5540,0,0,0,0,0,5540,Greg Schlabach,Yes,"Doudney Sheet Metal Works, Inc",,34232,715 Gantt Ave,FL,"McIntyre Elwell & Strammer General Contractors, Inc.",941-377-3460,(941) 371-4800,MES-22-032,Freedom ES New Classroom Building,Sarasota,,"<div style=""text-align:left;"">Provide all labor, materials, and equipment required to completely furnish and install all <em><strong>MISCELLANEOUS STRUCTURAL STEEL</strong></em><strong><em> </em></strong>work, and to include all accessories required for a complete and proper installation, as required by and in strict accordance with this Subcontractor Purchase Order and scope of work defined herein.<br><br>   -  14' tall roof access ladder.  Roughly 18"" wide with 12 rungs spaced about 11.5"" apart with brackets for mounting to wall. Ladder will be primed. but not painted.</div>
<div style=""text-align:left;"">
<br><em><strong>ALL SITE WORKERS MUST BE COMPLIANT WITH THE JESSICA LUNSFORD ACT, WHICH REQUIRES A LEVEL II BACKGROUND CHECK</strong></em>
</div>",9/27/2022,,,,,
22032.018,,Subcontract,,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p><span style=""font-size:12pt;"">Subcontractor:         </span></p>
<p>Scope / Title:                        </p>
<p>Cost Code:</p>
<p>Amount:                              </p>
<p> </p>
<p>Subcontractor Bond: Yes/No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",,,,,,Mark Freeman
22032.019,,Subcontract,,Not Ready,Draft,No,0,0,0,0,0,0,0,0,0,,Yes,,,,,,"McIntyre Elwell & Strammer General Contractors, Inc.",,,MES-22-032,Freedom ES New Classroom Building,,,"<p><span style=""font-size:12pt;"">Subcontractor:      </span></p>
<p>Scope / Title:                    </p>
<p>Cost Code:         </p>
<p>Amount: </p>
<p> </p>
<p>Subcontractor Bond: Yes/No</p>
<p> </p>
<p>Insurance Limits:</p>
<p>Up to $249,999: General Aggregate / Completed Operations Limits - $1M/$1M</p>
<p>$250,000-$399,999: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $2M</p>
<p>$400,000 and Above: General Aggregate / Completed Operations Limits - $2M/$2M, Umbrella $5M</p>",,,,,,Mark Freeman
