Number,Contract Company,Contract Type,Title,Executed,Original Contract Amount,Approved Change Orders,Revised Contract Amount,Remaining Balance Outstanding,Vendor,Project Number,Project Name,Vendor City,Signed Contract Received Date
24024.535,"Motorola Solutions, Inc.",Purchase Order, RF Coverage Survey,Yes,2280,2599.2,4879.2,4879.2,"Motorola Solutions, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Chicago,10/8/2025
24024.509,"Cardinal Fence, LLC",Purchase Order,Gate Relocation ,Yes,1395,0,1395,1395,"Cardinal Fence, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Clearwater,9/20/2024
24024.032,"Cardinal Fence, LLC",Subcontract,Dumpster Gate ,Yes,39534,25056,64590,64590,"Cardinal Fence, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Clearwater,1/13/2025
24024.512,"Johnson-Lancaster and Associates, Inc.",Purchase Order,Dishwasher Removal,Yes,4500,7381.59,11881.59,11881.59,"Johnson-Lancaster and Associates, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Clearwater,11/20/2024
24024.035,"Johnson-Lancaster and Associates, Inc.",Subcontract,Kitchen Equipment,Yes,253010,-213991.59,39018.41,39018.41,"Johnson-Lancaster and Associates, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Clearwater,7/3/2025
24024.018,Mardale Specialties Direct Inc,Subcontract,Toilet Partitions Accessories,Yes,73000.69,11394,84394.69,84394.69,Mardale Specialties Direct Inc,MES-24-024,MCS Palma Sola ES Campus Renovations,Clearwater,12/30/2024
24024.508,Smith Fence Company,Purchase Order,Temp Fencing ,Yes,27322.51,34384.21,61706.72,61706.72,Smith Fence Company,MES-24-024,MCS Palma Sola ES Campus Renovations,Clearwater,
24024.021,James Blinds,Subcontract,Window Treatments,Yes,24945.02,1691.56,26636.58,26636.58,James Blinds,MES-24-024,MCS Palma Sola ES Campus Renovations,Columbus,12/19/2024
24024.011,Integrated Openings Solutions,Subcontract,Doors & Hardware,Yes,490808.58,-337381.92,153426.66,153426.66,Integrated Openings Solutions,MES-24-024,MCS Palma Sola ES Campus Renovations,Dallas,12/20/2024
24024.544,Commercial Apppliance,Purchase Order,Dishwasher Parts Replacement ,Yes,6199.33,0.73,6200.06,6200.06,Commercial Apppliance,MES-24-024,MCS Palma Sola ES Campus Renovations,Detroit,2/19/2026
24024.506,"Michael J. Looney, Inc.",Purchase Order,Electrical Demolition,Yes,28623.79,12202.38,40826.17,40826.17,"Michael J. Looney, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Englewood,9/18/2024
24024.514,"Sylvester Excavating, Inc.",Purchase Order,Directional Bore -Temp Water,Yes,3620,60,3680,3680,"Sylvester Excavating, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Englewood,11/4/2024
24024.545,Quality Cabinets & Counters,Purchase Order,Solid Surface Tops,Yes,4695,3500,8195,8195,Quality Cabinets & Counters,MES-24-024,MCS Palma Sola ES Campus Renovations,Fort Myers,3/5/2026
24024.511,"B&I Contractors, Inc.",Purchase Order,HVAC Plumbing ,Yes,0,100123,100123,100123,"B&I Contractors, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Ft. Myers,10/15/2024
24024.028,Crowther Roofing &,Subcontract,Roofing,Yes,970600,-126337.67,844262.33,844262.33,Crowther Roofing &,MES-24-024,MCS Palma Sola ES Campus Renovations,Ft. Myers,12/16/2024
24024.007,Ogden Brothers Construction,Subcontract,Structural Steel ,Yes,882810,-352078.59,530731.41,530731.41,Ogden Brothers Construction,MES-24-024,MCS Palma Sola ES Campus Renovations,Ft. Myers,1/23/2025
24024.026,Service Contracting Solutions,Subcontract,"Caulking, Waterproofing & Damp",Yes,387053.52,18360.76,405414.28,405414.28,Service Contracting Solutions,MES-24-024,MCS Palma Sola ES Campus Renovations,Ft. Myers,1/9/2025
24024.5,"BGE, Inc.",Purchase Order,Survey,Yes,30500,1600,32100,32100,"BGE, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Houston,11/9/2023
24024.017,Florida Chalkboard Co.,Subcontract,Markerboards & Tackboards,Yes,65000,10158,75158,75158,Florida Chalkboard Co.,MES-24-024,MCS Palma Sola ES Campus Renovations,Apopka,12/16/2024
24024.526,"BGE, Inc.",Purchase Order,Layout/Surveying ,Yes,0,15790,15790,15790,"BGE, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Houston,1/13/2025
24024.03,"Kleen Sweep, Inc",Subcontract,Final Cleaning,Yes,32848.36,0,32848.36,32848.36,"Kleen Sweep, Inc",MES-24-024,MCS Palma Sola ES Campus Renovations,Lake Mary,12/30/2024
24024.547,SDC Install Services,Purchase Order,Laminate Edge Banding Rework,Yes,1974,0,1974,1974,SDC Install Services,MES-24-024,MCS Palma Sola ES Campus Renovations,Lakeland,4/20/2026
24024.548,Bliss Products and Services,Purchase Order,Site Furnishings,Yes,14481.02,0,14481.02,14481.02,Bliss Products and Services,MES-24-024,MCS Palma Sola ES Campus Renovations,Lithia Springs,5/4/2026
24024.019,Peachtree Protective,Subcontract,Walkway Canopies,Yes,291337,8754,300091,300091,Peachtree Protective,MES-24-024,MCS Palma Sola ES Campus Renovations,Lithia Springs,2/18/2025
24024.006,"B & M Masonry, Inc.",Subcontract,"Concrete, Masonry & Brick",Yes,2580600,-576457.63,2004142.37,2004142.37,"B & M Masonry, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Marietta,12/18/2024
24024.513,Broken Oak Land & Tree,Purchase Order,Tree Trimming,Yes,16400,0,16400,16400,Broken Oak Land & Tree,MES-24-024,MCS Palma Sola ES Campus Renovations,Milton,10/24/2024
24024.536,FRP Specialties LLC,Purchase Order,Clinic Wall Protection,Yes,2100,0,2100,2100,FRP Specialties LLC,MES-24-024,MCS Palma Sola ES Campus Renovations,Mulberry,10/3/2025
24024.005,West Florida Fence,Subcontract,Permanent Fencing ,Yes,145515,35395,180910,180910,West Florida Fence,MES-24-024,MCS Palma Sola ES Campus Renovations,Naples,1/14/2025
24024.023,"Babe's Plumbing, Inc.",Subcontract,Fire Sprinklers,Yes,215150,11778.63,226928.63,226928.63,"Babe's Plumbing, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Nokomis,1/6/2025
24024.519,Blue Dolphin Locksmith of,Purchase Order, Door Hardware (Safe-off),Yes,1041.74,120.68,1162.42,1162.42,Blue Dolphin Locksmith of,MES-24-024,MCS Palma Sola ES Campus Renovations,Nokomis,12/5/2024
24024.02,Hile's Curtain Specialties Inc,Subcontract,Stage Curtain & Track,Yes,17981.35,18475.1,36456.45,36456.45,Hile's Curtain Specialties Inc,MES-24-024,MCS Palma Sola ES Campus Renovations,Odessa,12/18/2024
24024.01,"Southern Foam Insulation, Inc.",Subcontract,Spray Foam Insulation,Yes,39990,3766.18,43756.18,43756.18,"Southern Foam Insulation, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Orlando,3/4/2025
24024.524,"Universal Engineering Science, LLC",Purchase Order,Material Testing,Yes,0,0,0,0,"Universal Engineering Science, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Orlando,12/11/2024
24024.029,Holland Landscaping & Tree Svc,Subcontract,Sodding,Yes,79200,18967.5,98167.5,98167.5,Holland Landscaping & Tree Svc,MES-24-024,MCS Palma Sola ES Campus Renovations,Osprey,12/13/2024
24024.527,"Stillman's Tree Service, LLC",Purchase Order,Tree Trimming,Yes,2460,0,2460,2460,"Stillman's Tree Service, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Palmetto,1/22/2025
24024.532,"R2J Chemical Services, Inc.",Purchase Order,Temporary Water Line,Yes,5600,0,5600,5600,"R2J Chemical Services, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Pinellas Park,4/30/2025
24024.534,Terrazzo-Acrylic Flooring,Purchase Order, Kitchen MMA System Cleaning,Yes,5975.17,17237.3,23212.47,23212.47,Terrazzo-Acrylic Flooring,MES-24-024,MCS Palma Sola ES Campus Renovations,Ruskin,7/25/2025
24024.504,Mobile Modular Mgmt. Corp.,Purchase Order,Mobile Modular,Yes,0,0,0,0,Mobile Modular Mgmt. Corp.,MES-24-024,MCS Palma Sola ES Campus Renovations,San Francisco,9/30/2024
24024.53,"Ackerman Plumbing, LLC",Purchase Order,Bldg. 3 Temp Water Line,Yes,5025,10278.38,15303.38,15303.38,"Ackerman Plumbing, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,4/23/2025
24024.549,Alpha-Omega Communications LLC,Purchase Order,RF Survey,No,1500,0,1500,1500,Alpha-Omega Communications LLC,MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,
24024.022,Aqua Plumbing & Air Services,Subcontract,Plumbing,Yes,602839,11934.81,614773.81,614773.81,Aqua Plumbing & Air Services,MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,1/8/2025
24024.533,Aqua Plumbing & Air Services,Purchase Order,Existing Sanitary & Grease Lin,Yes,7520,0,7520,7520,Aqua Plumbing & Air Services,MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,6/9/2025
24024.52,"D&D Commercial Garage Doors, Inc.",Purchase Order,Security Grilles ,Yes,2000,1529,3529,3529,"D&D Commercial Garage Doors, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,12/19/2024
24024.502,Dolphin Innovations LLC,Purchase Order,Metal Framing & Drywall,Yes,5318,0,5318,5318,Dolphin Innovations LLC,MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,7/2/2024
24024.528,"Doudney Sheet Metal Works, Inc",Purchase Order,Louver Flashing,Yes,2320,7885,10205,10205,"Doudney Sheet Metal Works, Inc",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,3/10/2025
24024.003,"Gulfshore Drywall, Inc.",Subcontract,Kitchen Temp Wall,Yes,35000,0,35000,35000,"Gulfshore Drywall, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,10/17/2024
24024.014,"Gulfshore Drywall, Inc.",Subcontract,Metal Framing & Drywall,Yes,919300,-221722.01,697577.99,697577.99,"Gulfshore Drywall, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,12/13/2024
24024.522,NBI Suncontrol,Purchase Order,Impact Film,Yes,1012.5,0,1012.5,1012.5,NBI Suncontrol,MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,1/2/2025
24024.541,Pampered Mover of Sarasota LLC,Purchase Order,Building 11 & 12 Move,Yes,6000,12520,18520,18520,Pampered Mover of Sarasota LLC,MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,1/30/2026
24024.507,"Parrish Well Drilling, Inc.",Purchase Order,Well Abandonment,Yes,2200,15600,17800,17800,"Parrish Well Drilling, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,10/2/2024
24024.521,"Robson Sign, LLC",Purchase Order,School Sign Removal,Yes,750,0,750,750,"Robson Sign, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,12/2/2024
24024.034,"Robson Sign, LLC",Subcontract,Exterior Signage,Yes,36042,0,36042,36042,"Robson Sign, LLC",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,4/16/2025
24024.539,"Solar Vision, Inc.",Purchase Order, Classroom Security Film,Yes,650,1350,2000,2000,"Solar Vision, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Sarasota,1/19/2026
24024.015,"Acousti Engineering Co. of Florida, Inc. -Tampa",Subcontract,Acoustical Ceilings & Wall Pan,Yes,248297,-44362,203935,203935,"Acousti Engineering Co. of Florida, Inc. -Tampa",MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,1/21/2025
24024.518,Advanced Cable Connection Inc.,Purchase Order,IT Relocate,Yes,7027.13,3201,10228.13,10228.13,Advanced Cable Connection Inc.,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,11/18/2024
24024.51,Akita Copy Systems,Purchase Order,Printer/Copier Machine,Yes,0,0,0,0,Akita Copy Systems,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,10/3/2024
24024.516,Alarm & Communication Systems,Purchase Order,Security Safe Off,Yes,2110,11809.15,13919.15,13919.15,Alarm & Communication Systems,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,
24024.025,BCI Integrated Solutions,Subcontract,Electrical ,Yes,3963440,-890323.43,3073116.57,3073116.57,BCI Integrated Solutions,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,12/17/2024
24024.008,"Southeast Erectors, Inc.",Subcontract,Light Ga. Trusses & Metal Deck,Yes,80845,24061,104906,104906,"Southeast Erectors, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Lake Mary,6/18/2025
24024.024,Southern Equipment Corp.,Subcontract,HVAC,Yes,4128858,-508695.94,3620162.06,3620162.06,Southern Equipment Corp.,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,12/20/2024
24024.538,Commercial Products Corp.,Purchase Order,Temp Boiler Rental,Yes,38500,-23831.25,14668.75,14668.75,Commercial Products Corp.,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,10/21/2025
24024.537,Fleischman Garcia Maslowski,Purchase Order,Architectural Services ,Yes,22140,0,22140,22140,Fleischman Garcia Maslowski,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,10/21/2025
24024.523,"PBA Design Group, Inc.",Purchase Order,Envelope Consultant Svcs,Yes,8000,10000,18000,18000,"PBA Design Group, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,12/9/2024
24024.501,"Precision Painting Group, Inc.",Purchase Order,Interior Painting,Yes,2020,0,2020,2020,"Precision Painting Group, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,7/10/2024
24024.525,Southern Equipment Corp.,Purchase Order,Kitchen Duct Safe Off,Yes,4241.05,0,4241.05,4241.05,Southern Equipment Corp.,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,2/10/2025
24024.503,Spectra Contract Flooring,Purchase Order,Vinyl Base,Yes,325,0,325,325,Spectra Contract Flooring,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,7/9/2024
24024.517,Spectra Contract Flooring,Purchase Order,Temporary Cafeteria Flooring,Yes,10209.17,0,10209.17,10209.17,Spectra Contract Flooring,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,11/12/2024
24024.016,Spectra Contract Flooring,Subcontract,"Flooring including Hard Tile, ",Yes,372931.97,-157004.63,215927.34,215927.34,Spectra Contract Flooring,MES-24-024,MCS Palma Sola ES Campus Renovations,Tampa,1/3/2025
24024.036,"Project Innovations, Inc.",Subcontract,Playground Shade Structure,Yes,82504,0,82504,82504,"Project Innovations, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Tarpon Springs,11/18/2025
24024.009,"Stevens Industries, Inc.",Subcontract,Casework & Cabinetry,Yes,105783,23148.6,128931.6,128931.6,"Stevens Industries, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Teutopolis,1/22/2025
24024.033,"H & H Signs, Inc.",Subcontract,Signage,Yes,44758.34,559.61,45317.95,45317.95,"H & H Signs, Inc.",MES-24-024,MCS Palma Sola ES Campus Renovations,Venice,4/2/2025
,,,,,,,,,,,,,
,,,,,,,"$17,627,496.31",,,,,,
